Gene,H1,H2,H3,H4,I1,I2,I3,I4
gene:ENSG00000186092,42,46,58,96,68,20,24,57
gene:ENSG00000284733,10,8,7,12,9,6,8,5
gene:ENSG00000284662,6,7,9,9,7,9,4,5
gene:ENSG00000187634,214,177,220,216,180,217,128,312
gene:ENSG00000188976,847,585,1038,1068,1258,859,749,759
gene:ENSG00000187961,133,92,179,203,188,107,72,78
gene:ENSG00000187583,108,77,131,125,128,136,70,116
gene:ENSG00000187642,35,39,49,43,63,47,26,80
gene:ENSG00000188290,83,33,58,78,110,42,70,68
gene:ENSG00000187608,776,935,1617,1450,3415,5029,10841,1764
gene:ENSG00000188157,365,301,423,421,488,380,337,505
gene:ENSG00000237330,49,23,42,51,50,47,29,38
gene:ENSG00000131591,922,628,807,1097,1162,535,436,879
gene:ENSG00000162571,343,378,395,511,413,220,176,440
gene:ENSG00000186891,184,66,143,317,282,66,81,92
gene:ENSG00000186827,76,88,193,160,419,88,199,108
gene:ENSG00000078808,2049,1579,3026,3618,5095,3143,2363,2315
gene:ENSG00000176022,369,293,600,536,645,275,256,335
gene:ENSG00000184163,47,22,32,44,20,27,40,38
gene:ENSG00000160087,1081,996,1634,1775,2664,1065,900,1475
gene:ENSG00000162572,278,315,260,442,431,164,193,204
gene:ENSG00000131584,507,392,498,576,808,548,337,526
gene:ENSG00000169972,196,202,250,238,467,202,143,172
gene:ENSG00000127054,1007,787,1556,1424,1902,1003,838,928
gene:ENSG00000224051,265,160,428,350,612,273,174,179
gene:ENSG00000169962,65,28,37,82,124,116,41,57
gene:ENSG00000107404,402,360,612,723,827,337,287,316
gene:ENSG00000162576,92,67,75,98,127,66,62,109
gene:ENSG00000175756,639,681,1130,1089,2365,1004,808,910
gene:ENSG00000221978,3989,2750,6866,5920,5675,2595,2488,2277
gene:ENSG00000242485,827,713,1592,1334,2824,1306,1189,1206
gene:ENSG00000235098,45,34,55,33,37,36,21,35
gene:ENSG00000205116,10,9,9,158,5,13,4,7
gene:ENSG00000179403,109,83,113,98,100,83,66,108
gene:ENSG00000215915,613,578,551,759,695,290,249,775
gene:ENSG00000160072,855,643,1034,1190,1400,790,557,789
gene:ENSG00000197785,654,584,676,974,1241,732,510,723
gene:ENSG00000205090,59,28,51,51,72,33,27,34
gene:ENSG00000160075,2275,1902,3442,3162,4422,2367,2003,2220
gene:ENSG00000228594,77,35,76,57,88,39,40,76
gene:ENSG00000197530,547,400,879,818,839,392,348,396
gene:ENSG00000189409,77,38,83,188,61,22,22,27
gene:ENSG00000248333,2704,2046,2730,4079,3981,1360,1043,2017
gene:ENSG00000189339,2432,1790,2754,3210,3933,1924,1113,1909
gene:ENSG00000008128,2407,1976,2202,3550,4002,1461,461,1569
gene:ENSG00000215790,1549,1300,2900,2734,2456,1100,735,1455
gene:ENSG00000008130,2430,1535,1864,2043,2650,1764,1348,2558
gene:ENSG00000078369,8400,6316,9402,11411,13890,6003,5613,9303
gene:ENSG00000169885,52,15,56,34,43,34,13,38
gene:ENSG00000178821,11,9,3,23,16,13,10,14
gene:ENSG00000142609,1556,1249,1378,1840,1393,998,825,1752
gene:ENSG00000187730,163,91,180,191,189,94,92,211
gene:ENSG00000067606,2327,2225,2727,3158,2908,1733,1465,2806
gene:ENSG00000162585,648,540,855,863,1052,457,412,651
gene:ENSG00000157933,2299,1975,3532,3357,3917,1809,1535,2278
gene:ENSG00000116151,985,885,1099,1223,1196,803,721,1213
gene:ENSG00000157916,1586,1140,2179,2035,2794,1665,1265,1529
gene:ENSG00000157911,307,239,484,438,471,267,264,310
gene:ENSG00000149527,807,699,893,1110,880,734,619,846
gene:ENSG00000157881,448,380,767,639,754,444,304,354
gene:ENSG00000197921,10,4,9,9,7,7,8,9
gene:ENSG00000157873,2344,2246,3695,3709,3846,1544,1452,2622
gene:ENSG00000225931,40,16,39,49,47,25,14,42
gene:ENSG00000157870,182,215,394,309,390,162,189,191
gene:ENSG00000142606,434,341,435,467,370,385,327,510
gene:ENSG00000215912,2539,2530,2053,2546,2519,1606,1564,3232
gene:ENSG00000169717,10,9,18,10,8,11,17,30
gene:ENSG00000142611,4638,3939,4551,4932,4753,3727,2888,5401
gene:ENSG00000279839,0,0,0,0,0,0,0,0
gene:ENSG00000130762,259,213,216,240,298,247,204,273
gene:ENSG00000162591,1786,1497,2517,2084,2374,1855,1027,1913
gene:ENSG00000158109,1366,1132,2664,2396,2243,826,886,977
gene:ENSG00000116213,803,705,880,1066,1091,632,460,693
gene:ENSG00000078900,1183,942,1165,1307,1309,1016,805,1378
gene:ENSG00000162592,409,309,308,397,366,284,210,430
gene:ENSG00000235169,33,37,27,38,44,53,42,65
gene:ENSG00000130764,1071,753,1372,1417,1860,981,858,929
gene:ENSG00000116198,1718,1416,2078,2631,3161,1305,1073,1707
gene:ENSG00000169598,587,498,713,811,999,477,436,625
gene:ENSG00000198912,640,468,748,1075,812,476,460,447
gene:ENSG00000196581,2090,1561,1938,2274,1995,1495,1430,2676
gene:ENSG00000131697,2358,1596,1890,2362,2167,1487,1303,2493
gene:ENSG00000069424,5107,3974,5904,8085,6546,3515,3476,4385
gene:ENSG00000116254,734,639,772,841,848,539,482,907
gene:ENSG00000285629,35,41,29,62,40,39,47,80
gene:ENSG00000116251,353,274,380,436,433,140,175,398
gene:ENSG00000158286,299,235,262,433,313,192,149,424
gene:ENSG00000116237,924,727,1455,1619,2817,1396,1074,978
gene:ENSG00000173673,3,3,2,7,10,9,1,8
gene:ENSG00000158292,409,354,406,729,431,240,257,480
gene:ENSG00000097021,2274,2137,2688,3366,3622,1948,1667,3064
gene:ENSG00000069812,264,194,225,313,287,138,150,343
gene:ENSG00000187017,792,580,819,983,941,476,392,916
gene:ENSG00000215788,411,645,1979,999,1351,467,442,337
gene:ENSG00000171680,983,820,1105,1455,1086,633,547,1287
gene:ENSG00000162408,1562,1305,2497,2010,2601,1202,1063,1404
gene:ENSG00000173662,595,493,560,905,524,336,280,710
gene:ENSG00000204859,458,385,567,566,612,349,331,387
gene:ENSG00000162413,748,508,820,996,1011,487,443,700
gene:ENSG00000116273,365,350,547,723,807,271,262,396
gene:ENSG00000041988,352,415,547,562,798,388,353,401
gene:ENSG00000007923,2022,1760,2253,2817,2758,1592,1281,2419
gene:ENSG00000171735,16150,12646,15049,18826,17285,11335,9559,18174
gene:ENSG00000049245,1742,1024,1320,1602,2156,1112,1108,2384
gene:ENSG00000049246,1426,1035,1355,1921,1418,792,736,1470
gene:ENSG00000049247,252,168,283,289,695,254,96,254
gene:ENSG00000049249,525,388,466,712,574,305,339,533
gene:ENSG00000116288,2528,2670,3697,3879,6627,3102,2987,3543
gene:ENSG00000116285,625,460,590,879,650,296,286,576
gene:ENSG00000162426,604,607,719,690,616,330,378,749
gene:ENSG00000142599,12157,9896,12006,14311,13064,6588,6885,12412
gene:ENSG00000074800,6760,6149,9151,8767,23677,12329,11003,14364
gene:ENSG00000131686,713,538,766,1051,872,447,452,910
gene:ENSG00000197241,667,416,493,783,634,373,326,799
gene:ENSG00000142583,1077,906,1200,1669,1410,1123,697,1395
gene:ENSG00000180758,668,564,814,886,801,410,339,915
gene:ENSG00000049239,2300,1326,2398,2768,2035,1263,1294,2026
gene:ENSG00000171621,1505,1097,1479,1743,1914,1198,1009,1688
gene:ENSG00000171612,2004,1817,3046,2813,3283,1133,1176,2261
gene:ENSG00000188807,352,286,381,471,433,377,233,438
gene:ENSG00000171608,5289,4180,7819,6873,8220,3149,3645,5442
gene:ENSG00000171603,3709,3604,5957,6630,7162,3145,2813,3949
gene:ENSG00000280113,9,31,25,21,13,19,20,25
gene:ENSG00000178585,1754,1507,1730,2131,1875,1110,1023,2094
gene:ENSG00000162441,1280,984,1668,1692,2210,891,1012,1369
gene:ENSG00000173614,1239,1020,1332,1584,1630,701,669,1593
gene:ENSG00000162444,890,604,788,693,882,322,342,1399
gene:ENSG00000130939,5093,3860,5096,6546,5955,2774,2576,5189
gene:ENSG00000054523,5055,3747,4365,5937,5727,2688,2847,5467
gene:ENSG00000142657,2963,1988,2428,1647,4922,3546,2608,6337
gene:ENSG00000251503,203,145,134,180,157,98,61,210
gene:ENSG00000175279,0,0,0,0,0,0,0,0
gene:ENSG00000241563,0,0,0,0,0,0,0,0
gene:ENSG00000160049,1283,1086,1663,2039,2849,992,904,1501
gene:ENSG00000142655,3775,2741,3850,4950,4543,1963,2042,3996
gene:ENSG00000130940,2871,2376,2667,3769,3171,1947,1787,3157
gene:ENSG00000175262,619,469,636,785,604,481,476,793
gene:ENSG00000120948,1,3,1,1,0,0,0,0
gene:ENSG00000277726,367,252,678,547,675,141,189,190
gene:ENSG00000009724,377,316,376,583,473,220,238,535
gene:ENSG00000116649,467,514,852,741,2128,1363,707,485
gene:ENSG00000171824,1620,1479,2189,2314,2825,1492,1264,1694
gene:ENSG00000198793,4247,3362,4534,5356,4942,3399,2805,4091
gene:ENSG00000171819,176,127,141,222,184,119,88,234
gene:ENSG00000120942,866,850,1522,1556,1724,825,700,919
gene:ENSG00000204624,884,646,737,1038,767,645,522,978
gene:ENSG00000116661,404,313,567,575,605,283,304,450
gene:ENSG00000132879,432,332,579,777,658,315,339,302
gene:ENSG00000116663,657,510,540,898,1217,756,688,1276
gene:ENSG00000116670,904,640,718,1090,1318,628,625,968
gene:ENSG00000162490,1043,914,914,2281,1120,619,476,1222
gene:ENSG00000177674,2251,1105,1467,1638,2579,1210,1255,2638
gene:ENSG00000215910,627,557,609,971,687,388,359,890
gene:ENSG00000177000,1528,1014,1666,2062,2312,969,964,1928
gene:ENSG00000011021,1281,809,1081,1425,1340,711,664,1294
gene:ENSG00000175206,71,87,76,124,100,53,31,108
gene:ENSG00000120937,21,15,9,28,9,24,7,33
gene:ENSG00000116685,969,752,1339,1592,1788,1075,683,1063
gene:ENSG00000083444,1075,917,1008,1816,1969,1253,990,1583
gene:ENSG00000116688,2026,1740,2220,2636,3203,1716,1935,2397
gene:ENSG00000116691,656,439,652,742,940,500,424,795
gene:ENSG00000120949,1879,1289,1940,2116,1812,1109,1034,2316
gene:ENSG00000028137,12258,7445,9515,13179,12962,5616,5168,14872
gene:ENSG00000048707,8255,6160,9705,10507,10140,5109,5127,8192
gene:ENSG00000162496,1602,1437,2401,2471,2374,861,1274,1509
gene:ENSG00000204518,449,250,308,409,266,257,190,446
gene:ENSG00000188984,226,209,192,413,319,132,161,321
gene:ENSG00000157330,394,364,475,534,436,239,160,496
gene:ENSG00000116726,70,29,54,48,24,36,25,43
gene:ENSG00000116721,79,73,67,113,89,33,46,118
gene:ENSG00000239810,119,91,127,124,134,42,60,159
gene:ENSG00000179172,50,75,103,90,190,83,58,91
gene:ENSG00000120952,79,92,107,75,77,62,44,102
gene:ENSG00000243073,92,91,115,120,112,60,73,186
gene:ENSG00000187545,97,65,135,180,101,88,51,183
gene:ENSG00000204510,36,32,36,39,35,24,22,67
gene:ENSG00000232423,114,91,139,131,134,70,67,234
gene:ENSG00000274764,85,91,89,105,95,65,31,142
gene:ENSG00000277058,26,5,18,31,19,12,16,36
gene:ENSG00000229571,117,102,152,112,108,73,83,158
gene:ENSG00000275774,27,25,47,70,77,36,32,31
gene:ENSG00000280267,103,89,105,113,90,60,77,123
gene:ENSG00000179412,28,32,36,49,41,25,27,50
